mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,2351,1945.493
2020-03-01 00:00:00+00:00,2351M,1945.493
2020-03-01 00:00:00+00:00,2356,88679.11
2020-03-01 00:00:00+00:00,2356M,88679.11
2020-03-01 00:00:00+00:00,2357,70847.557
2020-03-01 00:00:00+00:00,2362,3428.351
2020-03-01 00:00:00+00:00,000116,928.994
2020-03-01 00:00:00+00:00,000116M,928.994
2020-03-01 00:00:00+00:00,1102M,13138.881
2020-03-01 00:00:00+00:00,1103,495.334
2020-03-01 00:00:00+00:00,1103M,495.334
2020-03-01 00:00:00+00:00,1110,387.944
2020-03-01 00:00:00+00:00,1110M,387.944
2020-03-01 00:00:00+00:00,1210,19100.652
2020-03-01 00:00:00+00:00,1218,1904.167
2020-03-01 00:00:00+00:00,1218M,1904.167
2020-03-01 00:00:00+00:00,1219,2989.739
2020-03-01 00:00:00+00:00,1219M,2989.739
2020-03-01 00:00:00+00:00,1229,2047.029
2020-03-01 00:00:00+00:00,1229M,2047.029
2020-03-01 00:00:00+00:00,1235,4.197
2020-03-01 00:00:00+00:00,1235M,4.197
2020-03-01 00:00:00+00:00,1236,437.389
2020-03-01 00:00:00+00:00,1236M,437.389
2020-03-01 00:00:00+00:00,1269,540.244
2020-03-01 00:00:00+00:00,1269M,540.244
2020-03-01 00:00:00+00:00,1301,42019.18
2020-03-01 00:00:00+00:00,1301M,42019.18
2020-03-01 00:00:00+00:00,1307,2657.27
2020-03-01 00:00:00+00:00,1307M,2657.27
2020-03-01 00:00:00+00:00,1312M,3608.357
2020-03-01 00:00:00+00:00,1313,8888.435
2020-03-01 00:00:00+00:00,1313M,8888.435
2020-03-01 00:00:00+00:00,1321,1096.066
2020-03-01 00:00:00+00:00,1321M,1096.066
2020-03-01 00:00:00+00:00,1323,766.261
2020-03-01 00:00:00+00:00,1323M,766.261
2020-03-01 00:00:00+00:00,1336,467.297
2020-03-01 00:00:00+00:00,1336M,467.297
2020-03-01 00:00:00+00:00,1337,179.041
2020-03-01 00:00:00+00:00,1337M,179.041
2020-03-01 00:00:00+00:00,1338,1062.782
2020-03-01 00:00:00+00:00,1408M,2046.13
2020-03-01 00:00:00+00:00,1409,7939.32
2020-03-01 00:00:00+00:00,1409M,7939.32
2020-03-01 00:00:00+00:00,1416M,49.957
2020-03-01 00:00:00+00:00,1417,282.224
2020-03-01 00:00:00+00:00,1417M,282.224
2020-03-01 00:00:00+00:00,1432,324.74
2020-03-01 00:00:00+00:00,1432M,324.74
2020-03-01 00:00:00+00:00,1438,84.582
2020-03-01 00:00:00+00:00,1438M,84.582
2020-03-01 00:00:00+00:00,1443,145.627
2020-03-01 00:00:00+00:00,1443M,145.627
2020-03-01 00:00:00+00:00,1449,420.342
2020-03-01 00:00:00+00:00,1449M,420.342
2020-03-01 00:00:00+00:00,1455,2144.335
2020-03-01 00:00:00+00:00,1455M,2144.335
2020-03-01 00:00:00+00:00,1456,110.223
2020-03-01 00:00:00+00:00,1456M,110.223
2020-03-01 00:00:00+00:00,1463,204.594
2020-03-01 00:00:00+00:00,1463M,204.594
2020-03-01 00:00:00+00:00,1464,2436.219
2020-03-01 00:00:00+00:00,1464M,2436.219
2020-03-01 00:00:00+00:00,1470,206.234
2020-03-01 00:00:00+00:00,1470M,206.234
2020-03-01 00:00:00+00:00,1475M,11.144
2020-03-01 00:00:00+00:00,1476,6012.559
2020-03-01 00:00:00+00:00,1476M,6012.559
2020-03-01 00:00:00+00:00,1506,247.19
2020-03-01 00:00:00+00:00,1506M,247.19
2020-03-01 00:00:00+00:00,1515,1418.539
2020-03-01 00:00:00+00:00,1515M,1418.539
2020-03-01 00:00:00+00:00,1516,267.411
2020-03-01 00:00:00+00:00,1524,541.642
2020-03-01 00:00:00+00:00,1524M,541.642
2020-03-01 00:00:00+00:00,1529M,172.257
2020-03-01 00:00:00+00:00,1530,591.116
2020-03-01 00:00:00+00:00,1530M,591.116
2020-03-01 00:00:00+00:00,1538,55.437
2020-03-01 00:00:00+00:00,1538M,55.437
2020-03-01 00:00:00+00:00,1539,455.136
2020-03-01 00:00:00+00:00,1539M,455.136
2020-03-01 00:00:00+00:00,1563,1392.929
